19,19,19,19,19,19,18,12
19,19,19,19,19,19,7,2
19,19,19,19,19,14,7,1
19,19,19,19,19,8,8,3
19,19,19,19,19,13,2,1
19,19,19,19,19,1,2,2
19,19,19,19,19,2,2,2
19,19,19,19,19,1,1,2
19,19,19,19,19,2,1,1
19,19,19,19,19,1,1,2
19,19,19,19,19,1,2,1
19,19,19,18,19,3,1,1
19,19,19,18,19,1,1,1
19,19,19,19,19,1,1,1
19,19,19,17,19,2,1,1
19,19,19,17,19,1,1,1
19,19,18,16,19,1,1,1
19,19,19,14,19,1,1,1
19,19,18,11,19,1,1,1
19,19,17,7,19,1,1,1
0,0,0,0,19,1,1,1
0,0,0,0,19,1,1,1
0,0,0,0,0,1,1,1
0,0,0,0,0,1,1,1
0,0,0,0,0,1,1,1
0,0,0,0,0,1,1,1
0,0,0,0,0,1,1,1
0,0,0,0,0,1,1,1
0,0,0,0,0,1,1,1
0,0,0,0,0,1,1,1
0,0,0,0,0,1,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
