1,0,0,0,0,0
1.0093,0.0046098,1.0625e-05,2.4489e-08,8.463e-27,3.6811e-264
1.0186,0.0092195,4.25e-05,1.9591e-07,8.6657e-24,4.6638e-234
1.028,0.013829,9.5622e-05,6.6119e-07,4.9966e-22,1.8945e-216
1.0376,0.018439,0.00016999,1.5672e-06,8.8717e-21,5.8995e-204
1.0472,0.023048,0.0002656,3.0608e-06,8.2611e-20,2.8915e-194
1.0569,0.027657,0.00038245,5.2887e-06,5.1141e-19,2.39e-186
1.0667,0.032266,0.00052054,8.3977e-06,2.3886e-18,1.1806e-179
1.0765,0.036874,0.00067985,1.2534e-05,9.0769e-18,7.4153e-174
1.0865,0.041482,0.00086038,1.7845e-05,2.9467e-17,9.6399e-169
1.0966,0.04609,0.0010621,2.4477e-05,8.4482e-17,3.6171e-164
1.1067,0.050697,0.0012851,3.2575e-05,2.1904e-16,4.9661e-160
1.117,0.055303,0.0015292,4.2286e-05,5.2268e-16,2.9724e-156
1.1273,0.059909,0.0017946,5.3755e-05,1.1632e-15,8.8591e-153
1.1378,0.064515,0.0020811,6.7129e-05,2.4395e-15,1.4581e-149
1.1483,0.069119,0.0023887,8.2553e-05,4.8609e-15,1.4384e-146
1.1589,0.073723,0.0027175,0.00010017,9.2633e-15,9.0859e-144
1.1697,0.078326,0.0030675,0.00012013,1.6975e-14,3.879e-141
1.1805,0.082928,0.0034386,0.00014258,3.0045e-14,1.1706e-138
1.1915,0.08753,0.0038307,0.00016765,5.1558e-14,2.5921e-136
1.2025,0.09213,0.004244,0.0001955,8.6051e-14,4.3481e-134
1.2136,0.09673,0.0046783,0.00022627,1.4007e-13,5.6765e-132
1.2249,0.10133,0.0051337,0.0002601,2.2286e-13,5.9036e-130
1.2362,0.10593,0.0056101,0.00029713,3.4733e-13,4.9909e-128
1.2477,0.11052,0.0061076,0.00033751,5.3115e-13,3.4907e-126
1.2592,0.11512,0.006626,0.00038138,7.9823e-13,2.0513e-124
1.2709,0.11971,0.0071654,0.00042889,1.1805e-12,1.0267e-122
1.2826,0.1243,0.0077257,0.00048017,1.7202e-12,4.4301e-121
1.2945,0.12889,0.008307,0.00053536,2.4722e-12,1.6658e-119
1.3065,0.13348,0.0089091,0.00059462,3.5079e-12,5.5111e-118
1.3186,0.13807,0.0095321,0.00065807,4.9185e-12,1.6182e-116
1.3308,0.14266,0.010176,0.00072586,6.8197e-12,4.2501e-115
1.3432,0.14725,0.010841,0.00079813,9.3576e-12,1.0055e-113
